Model,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,AUROC,Avg Precision (PR-AUC)
LogisticRegression,0.825,0.3333333333333333,0.4,0.8857142857142857,0.36363636363636365,0.5885714285714285,0.2712962962962963
XGBoost,0.925,1.0,0.4,1.0,0.5714285714285714,0.6228571428571429,0.5081296839361356
FT-Transformer,0.875,0.5,0.2,0.9714285714285714,0.2857142857142857,0.7828571428571428,0.5188536953242835
TabPFN v2,0.875,0.0,0.0,1.0,0.0,0.5714285714285715,0.23496203453297276
